Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
External Fraud,Theft and Fraud,42962,42963,2017,28084.13,7301.8738,39300,26
External Fraud,Theft and Fraud,42963,42966,2017,18547.62,6677.1432,25600,36
"Clients, Products and Business Practices",Advisory Activities,42963,42965,2017,175466.25,35093.25,187300,20
External Fraud,Systems Security,42968,42969,2017,227259,72722.88,227800,32
"Execution, Delivery and Process Management",Transaction/Data Management,42969,42970,2017,438955.72,122907.6016,451400,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,42971,42974,2017,162879.96,55379.1864,169300,34
External Fraud,Theft and Fraud,42972,42975,2017,170361.75,68144.7,172100,40
"Execution, Delivery and Process Management",Trade Counterparties,42972,42975,2017,56170.71,13480.9704,54500,24
Employment Practices and Workplace Safety,Safe Environment,42974,42976,2017,132615.36,29175.3792,137700,22
External Fraud,Theft and Fraud,42980,42981,2017,124444.67,37333.401,136100,30
"Execution, Delivery and Process Management",Reporting and Disclosure,42985,42986,2017,264999.85,66249.9625,278000,25
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",42986,42987,2017,207281.18,58038.7304,208900,28
"Execution, Delivery and Process Management",Trade Counterparties,42986,42988,2017,5424.92,2061.4696,12700,38
External Fraud,Theft and Fraud,42988,42991,2017,22191.68,7767.088,27400,35
External Fraud,Systems Security,42993,42996,2017,205845.77,53519.9002,205600,26
External Fraud,Theft and Fraud,42997,42998,2017,175034.09,38507.4998,185500,22
External Fraud,Theft and Fraud,43009,43012,2017,188696.96,64156.9664,202400,34
Damage to Physical Assets,Disaster and other events,43011,43014,2017,108861.88,42456.1332,114600,39
Employment Practices and Workplace Safety,Diversity and Discrimination,43012,43013,2017,111398.82,42331.5516,116100,38
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43014,43016,2017,729583.68,189691.7568,743200,26
External Fraud,Theft and Fraud,43016,43017,2017,79117.97,29273.6489,77200,37
Internal Fraud,Theft and Fraud,43017,43018,2017,157816.7,39454.175,160600,25
"Execution, Delivery and Process Management",Reporting and Disclosure,43019,43021,2017,439298.79,162540.5523,445600,37
External Fraud,Systems Security,43019,43022,2017,262701.55,55167.3255,261700,21
"Execution, Delivery and Process Management",Reporting and Disclosure,43024,43027,2017,271661.06,57048.8226,267500,21
External Fraud,Theft and Fraud,43024,43027,2017,816935.11,269588.5863,815600,33
External Fraud,Theft and Fraud,43025,43026,2017,7292.35,1823.0875,4400,25
"Execution, Delivery and Process Management",Customer Intake and Documentation,43027,43030,2017,107576.72,34424.5504,102900,32
"Execution, Delivery and Process Management",Trade Counterparties,43029,43032,2017,603143.44,150785.86,609100,25
"Execution, Delivery and Process Management",Reporting and Disclosure,43032,43034,2017,921109.47,230277.3675,919000,25
"Execution, Delivery and Process Management",Vendors and Suppliers,43035,43038,2017,37941.85,3414.7665,44400,9
External Fraud,Theft and Fraud,43041,43044,2017,94212.71,32974.4485,89500,35
Employment Practices and Workplace Safety,Employee Relations,43042,43044,2017,60900.73,18270.219,76300,30
"Execution, Delivery and Process Management",Customer/Client Account Management,43046,43048,2017,510327.03,147994.8387,512700,29
Internal Fraud,Unauthorized Activity,43046,43048,2017,188232.09,71528.1942,196900,38
"Execution, Delivery and Process Management",Transaction/Data Management,43046,43048,2017,168244.69,53838.3008,166300,32
External Fraud,Systems Security,43049,43052,2017,66790.08,15361.7184,78900,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,43054,43057,2017,237116.58,78248.4714,242400,33
External Fraud,Theft and Fraud,43057,43059,2017,246022.24,61505.56,263200,25
"Execution, Delivery and Process Management",Trade Counterparties,43060,43061,2017,610837.09,244334.836,617100,40
External Fraud,Systems Security,43060,43063,2017,261243.81,86210.4573,255300,33
External Fraud,Theft and Fraud,43062,43063,2017,211651.56,69845.0148,215800,33
External Fraud,Theft and Fraud,43062,43063,2017,126820.24,32973.2624,138100,26
External Fraud,Theft and Fraud,43063,43065,2017,189148.53,64310.5002,189400,34
"Execution, Delivery and Process Management",Reporting and Disclosure,43063,43064,2017,214770.88,79465.2256,205500,37
Internal Fraud,Theft and Fraud,43068,43070,2017,102592.8,29751.912,116700,29
Employment Practices and Workplace Safety,Diversity and Discrimination,43068,43071,2017,246835.02,54303.7044,255700,22
"Clients, Products and Business Practices",Improper Business or Market Practices,43069,43072,2017,48842,15141.02,62800,31
Employment Practices and Workplace Safety,Safe Environment,43069,43070,2017,238098.86,71429.658,236400,30
Employment Practices and Workplace Safety,Employee Relations,43070,43071,2017,225289.67,67586.901,233800,30
Employment Practices and Workplace Safety,Safe Environment,43071,43074,2017,59813.4,22130.958,65900,37
Employment Practices and Workplace Safety,Safe Environment,43072,43074,2017,235572.64,49470.2544,238000,21
"Execution, Delivery and Process Management",Trade Counterparties,43072,43075,2017,12810.09,4227.3297,22600,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43075,43076,2017,131322.98,32830.745,134800,25
External Fraud,Theft and Fraud,43076,43079,2017,204134.95,55116.4365,218400,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43083,43085,2017,84575.55,31292.9535,98800,37
External Fraud,Theft and Fraud,43089,43091,2017,214764.09,83757.9951,228200,39
External Fraud,Theft and Fraud,43091,43094,2017,800061.08,280021.378,795700,35
External Fraud,Systems Security,43092,43094,2017,606149.18,163660.2786,614900,27
External Fraud,Theft and Fraud,43097,43098,2017,214500.57,75075.1995,212800,35
External Fraud,Systems Security,43098,43101,2018,119531.94,41836.179,130600,35
External Fraud,Systems Security,43098,42736,2017,119531.94,35859.582,130600,30
External Fraud,Theft and Fraud,43099,43102,2018,30149.61,10552.3635,23500,35
External Fraud,Theft and Fraud,43099,42737,2017,30149.61,8743.3869,23500,29
"Execution, Delivery and Process Management",Customer Intake and Documentation,43099,41276,2013,223615.25,44723.05,223300,20
External Fraud,Theft and Fraud,43102,43104,2018,122691.6,34353.648,140400,28
"Execution, Delivery and Process Management",Reporting and Disclosure,43103,43106,2018,198692.55,59607.765,215800,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,43106,43107,2018,267485.43,96294.7548,267900,36
External Fraud,Theft and Fraud,43107,43107,2018,120000,33600,120000,28
"Execution, Delivery and Process Management",Trade Counterparties,43111,43112,2018,201839.78,66607.1274,213500,33
External Fraud,Theft and Fraud,43115,43117,2018,201165.93,56326.4604,202300,28
External Fraud,Systems Security,43119,43120,2018,34710.65,10066.0885,42200,29
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43120,43121,2018,64269.46,15424.6704,76300,24
"Execution, Delivery and Process Management",Reporting and Disclosure,43122,43124,2018,-4993.44,-1398.1632,-7700,28
External Fraud,Theft and Fraud,43125,43128,2018,27158.29,6789.5725,27100,25
External Fraud,Theft and Fraud,43126,43129,2018,105611.89,34851.9237,118800,33
"Clients, Products and Business Practices",Improper Business or Market Practices,43129,43131,2018,11563942.25,2659706.718,11576400,23
External Fraud,Theft and Fraud,43129,43132,2018,147013.52,52924.8672,146900,36
"Execution, Delivery and Process Management",Vendors and Suppliers,43130,43132,2018,56958.06,8543.709,59800,15
"Execution, Delivery and Process Management",Customer/Client Account Management,43136,43139,2018,107177.72,24650.8756,107600,23
External Fraud,Systems Security,43136,43139,2018,119180.92,38137.8944,111900,32
External Fraud,Systems Security,43138,43138,2018,1900000,684000,1600000,36
"Execution, Delivery and Process Management",Transaction/Data Management,43140,43142,2018,5176.18,1708.1394,17700,33
External Fraud,Theft and Fraud,43144,43147,2018,103491.7,31047.51,116300,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,43149,43151,2018,129643.07,45375.0745,131300,35
External Fraud,Theft and Fraud,43154,43156,2018,149806.43,47938.0576,147800,32
"Execution, Delivery and Process Management",Trade Counterparties,43156,43159,2018,272548.22,95391.877,275800,35
External Fraud,Theft and Fraud,43160,43161,2018,10227.24,3988.6236,22500,39
External Fraud,Systems Security,43160,43163,2018,92488.1,23122.025,90100,25
External Fraud,Theft and Fraud,43161,43164,2018,660810.86,132162.172,664100,20
"Execution, Delivery and Process Management",Reporting and Disclosure,43163,43166,2018,244757.98,66084.6546,247100,27
"Execution, Delivery and Process Management",Trade Counterparties,43170,43171,2018,852074.12,315267.4244,847500,37
"Execution, Delivery and Process Management",Reporting and Disclosure,43173,43176,2018,257581.29,85001.8257,264300,33
External Fraud,Theft and Fraud,43174,43175,2018,107669.04,24763.8792,110900,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43175,43178,2018,516567.4,185964.264,517400,36
Employment Practices and Workplace Safety,Safe Environment,43186,43189,2018,83700.89,30132.3204,96000,36
External Fraud,Theft and Fraud,43188,43190,2018,117638,24703.98,117200,21
External Fraud,Theft and Fraud,43188,43191,2018,241996.83,77438.9856,256000,32
External Fraud,Systems Security,43189,43190,2018,131914.22,50127.4036,133700,38
External Fraud,Theft and Fraud,43193,43196,2018,214453.61,75058.7635,226500,35
External Fraud,Theft and Fraud,43196,43197,2018,205984.74,57675.7272,216000,28
External Fraud,Theft and Fraud,43197,43198,2018,65970.61,17812.0647,65300,27
External Fraud,Systems Security,43197,43197,2018,500000,150000,500000,30
"Execution, Delivery and Process Management",Reporting and Disclosure,43200,43203,2018,774023.68,239947.3408,776500,31
"Execution, Delivery and Process Management",Customer Intake and Documentation,43205,43208,2018,63087.84,22711.6224,66500,36
External Fraud,Systems Security,43208,43209,2018,250721.14,50144.228,251200,20
External Fraud,Theft and Fraud,43212,43214,2018,195198.9,60511.659,200300,31
External Fraud,Theft and Fraud,43213,43214,2018,172233.93,53392.5183,177900,31
Internal Fraud,Theft and Fraud,43213,43216,2018,265436.65,95557.194,272800,36
External Fraud,Theft and Fraud,43214,43217,2018,230535.08,46107.016,247800,20
Internal Fraud,Unauthorized Activity,43216,43218,2018,260999.21,80909.7551,266700,31
Business Disruption and System Failures,Infrastructure and Systems,43218,43221,2018,778829.98,295955.3924,783300,38
"Execution, Delivery and Process Management",Trade Counterparties,43219,43220,2018,160869.47,43434.7569,167600,27
Employment Practices and Workplace Safety,Diversity and Discrimination,43222,43223,2018,126963.65,27932.003,122300,22
"Clients, Products and Business Practices",Product Flaws,43223,43224,2018,403289.4,104855.244,418500,26
"Execution, Delivery and Process Management",Reporting and Disclosure,43224,43227,2018,54839.5,21935.8,61400,40
"Execution, Delivery and Process Management",Vendors and Suppliers,43224,43227,2018,131660.41,23698.8738,130900,18
"Execution, Delivery and Process Management",Customer/Client Account Management,43228,43229,2018,36381.07,12369.5638,35900,34
"Execution, Delivery and Process Management",Transaction/Data Management,43233,43235,2018,8969.53,3498.1167,14900,39
"Execution, Delivery and Process Management",Customer Intake and Documentation,43236,43239,2018,1052505.15,410477.0085,1056300,39
"Execution, Delivery and Process Management",Trade Counterparties,43238,43241,2018,241139.77,62696.3402,252400,26
"Execution, Delivery and Process Management",Reporting and Disclosure,43242,43244,2018,579905.62,121780.1802,579700,21
External Fraud,Systems Security,43242,43243,2018,1422118.03,412414.2287,1429200,29
External Fraud,Theft and Fraud,43250,43251,2018,83954.76,20149.1424,98400,24
External Fraud,Theft and Fraud,43253,43256,2018,246516.56,61629.14,261900,25
"Execution, Delivery and Process Management",Trade Counterparties,43259,43262,2018,234291.56,84344.9616,232500,36
"Execution, Delivery and Process Management",Reporting and Disclosure,43260,43263,2018,762898.49,228869.547,768900,30
"Clients, Products and Business Practices",Advisory Activities,43262,43263,2018,57619.67,22471.6713,58300,39
External Fraud,Theft and Fraud,43263,43266,2018,126065.81,34037.7687,135900,27
External Fraud,Theft and Fraud,43272,43275,2018,199243.16,61765.3796,210800,31
External Fraud,Systems Security,43272,43273,2018,199518.71,55865.2388,195900,28
External Fraud,Theft and Fraud,43280,43283,2018,161731.07,46902.0103,158000,29
External Fraud,Theft and Fraud,43281,43284,2018,164327.71,46011.7588,167200,28
"Execution, Delivery and Process Management",Reporting and Disclosure,43283,43285,2018,278411.51,89091.6832,284700,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,43283,43286,2018,744335.69,282847.5622,747700,38
External Fraud,Systems Security,43286,43289,2018,103238.87,39230.7706,114500,38
"Execution, Delivery and Process Management",Trade Counterparties,43289,43290,2018,312526.32,78131.58,318100,25
Employment Practices and Workplace Safety,Employee Relations,43290,43293,2018,262263.58,60320.6234,269800,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43291,43294,2018,243840.23,82905.6782,246200,34
"Clients, Products and Business Practices",Product Flaws,43292,43295,2018,435474.85,161125.6945,434800,37
External Fraud,Theft and Fraud,43292,43295,2018,206537.42,82614.968,206300,40
Internal Fraud,Theft and Fraud,43297,43298,2018,40798.37,13463.4621,55500,33
Employment Practices and Workplace Safety,Safe Environment,43301,43303,2018,166849.6,33369.92,176500,20
"Execution, Delivery and Process Management",Vendors and Suppliers,43301,43304,2018,750530.88,247675.1904,756700,33
External Fraud,Theft and Fraud,43305,43308,2018,728552.01,233136.6432,732800,32
Employment Practices and Workplace Safety,Safe Environment,43308,43309,2018,200039.68,42008.3328,202900,21
External Fraud,Theft and Fraud,43308,43309,2018,236271.73,94508.692,236600,40
Internal Fraud,Theft and Fraud,43311,43313,2018,34355.86,9619.6408,33000,28
Internal Fraud,Unauthorized Activity,43316,43319,2018,144962.62,53636.1694,150800,37
"Execution, Delivery and Process Management",Customer/Client Account Management,43321,43324,2018,661563.29,251394.0502,659000,38
External Fraud,Theft and Fraud,43322,43325,2018,709258.82,262425.7634,721700,37
External Fraud,Systems Security,43324,43325,2018,82745.86,26478.6752,80100,32
External Fraud,Theft and Fraud,43327,43328,2018,28084.13,7863.5564,39300,28
External Fraud,Theft and Fraud,43328,43331,2018,18547.62,5749.7622,25600,31
"Clients, Products and Business Practices",Advisory Activities,43328,43330,2018,175466.25,57903.8625,187300,33
External Fraud,Systems Security,43333,43334,2018,227259,45451.8,227800,20
"Execution, Delivery and Process Management",Transaction/Data Management,43334,43335,2018,438955.72,153634.502,451400,35
"Execution, Delivery and Process Management",Customer Intake and Documentation,43336,43339,2018,162879.96,32575.992,169300,20
External Fraud,Theft and Fraud,43337,43340,2018,170361.75,45997.6725,172100,27
"Execution, Delivery and Process Management",Trade Counterparties,43337,43340,2018,56170.71,15727.7988,54500,28
Employment Practices and Workplace Safety,Safe Environment,43339,43341,2018,132615.36,46415.376,137700,35
External Fraud,Theft and Fraud,43345,43346,2018,124444.67,26133.3807,136100,21
"Clients, Products and Business Practices",Advisory Activities,43347,43350,2018,266501.42,82615.4402,270000,31
"Execution, Delivery and Process Management",Reporting and Disclosure,43350,43351,2018,264999.85,58299.967,278000,22
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43351,43352,2018,207281.18,74621.2248,208900,36
"Execution, Delivery and Process Management",Trade Counterparties,43351,43353,2018,5424.92,1627.476,12700,30
External Fraud,Theft and Fraud,43351,43354,2018,259391.88,64847.97,259100,25
External Fraud,Theft and Fraud,43353,43356,2018,22191.68,7767.088,27400,35
External Fraud,Systems Security,43358,43361,2018,205845.77,53519.9002,205600,26
External Fraud,Theft and Fraud,43362,43363,2018,175034.09,56010.9088,185500,32
External Fraud,Theft and Fraud,43374,43377,2018,188696.96,56609.088,202400,30
Damage to Physical Assets,Disaster and other events,43376,43379,2018,108861.88,41367.5144,114600,38
Employment Practices and Workplace Safety,Diversity and Discrimination,43377,43378,2018,111398.82,31191.6696,116100,28
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43379,43381,2018,729583.68,291833.472,743200,40
External Fraud,Theft and Fraud,43381,43382,2018,79117.97,22944.2113,77200,29
Internal Fraud,Theft and Fraud,43382,43383,2018,157816.7,45766.843,160600,29
"Execution, Delivery and Process Management",Reporting and Disclosure,43384,43386,2018,439298.79,149361.5886,445600,34
External Fraud,Systems Security,43384,43387,2018,262701.55,81437.4805,261700,31
"Execution, Delivery and Process Management",Reporting and Disclosure,43389,43392,2018,271661.06,97797.9816,267500,36
External Fraud,Theft and Fraud,43389,43392,2018,816935.11,294096.6396,815600,36
External Fraud,Theft and Fraud,43390,43391,2018,7292.35,2625.246,4400,36
"Execution, Delivery and Process Management",Customer Intake and Documentation,43392,43395,2018,107576.72,39803.3864,102900,37
External Fraud,Theft and Fraud,43393,43396,2018,256693.08,69307.1316,269200,27
"Execution, Delivery and Process Management",Trade Counterparties,43394,43397,2018,603143.44,168880.1632,609100,28
"Execution, Delivery and Process Management",Reporting and Disclosure,43397,43399,2018,921109.47,267121.7463,919000,29
"Execution, Delivery and Process Management",Vendors and Suppliers,43400,43403,2018,37941.85,2276.511,44400,6
External Fraud,Theft and Fraud,43406,43409,2018,94212.71,24495.3046,89500,26
Employment Practices and Workplace Safety,Employee Relations,43407,43409,2018,60900.73,23751.2847,76300,39
"Execution, Delivery and Process Management",Customer/Client Account Management,43411,43413,2018,510327.03,199027.5417,512700,39
Internal Fraud,Unauthorized Activity,43411,43413,2018,188232.09,69645.8733,196900,37
"Execution, Delivery and Process Management",Transaction/Data Management,43411,43413,2018,168244.69,52155.8539,166300,31
External Fraud,Systems Security,43414,43417,2018,66790.08,22708.6272,78900,34
"Execution, Delivery and Process Management",Customer Intake and Documentation,43419,43422,2018,237116.58,61650.3108,242400,26
External Fraud,Theft and Fraud,43422,43424,2018,246022.24,95948.6736,263200,39
"Execution, Delivery and Process Management",Trade Counterparties,43425,43426,2018,610837.09,171034.3852,617100,28
External Fraud,Systems Security,43425,43428,2018,261243.81,62698.5144,255300,24
External Fraud,Theft and Fraud,43427,43428,2018,211651.56,44446.8276,215800,21
External Fraud,Theft and Fraud,43427,43428,2018,126820.24,34241.4648,138100,27
External Fraud,Theft and Fraud,43428,43430,2018,189148.53,39721.1913,189400,21
"Execution, Delivery and Process Management",Reporting and Disclosure,43428,43429,2018,214770.88,83760.6432,205500,39
Internal Fraud,Theft and Fraud,43433,43435,2018,102592.8,20518.56,116700,20
Employment Practices and Workplace Safety,Diversity and Discrimination,43433,43436,2018,246835.02,98734.008,255700,40
"Clients, Products and Business Practices",Improper Business or Market Practices,43434,43437,2018,48842,13675.76,62800,28
Employment Practices and Workplace Safety,Safe Environment,43434,43435,2018,238098.86,69048.6694,236400,29
Employment Practices and Workplace Safety,Employee Relations,43435,43436,2018,225289.67,78851.3845,233800,35
Employment Practices and Workplace Safety,Safe Environment,43436,43439,2018,59813.4,12560.814,65900,21
Employment Practices and Workplace Safety,Safe Environment,43437,43439,2018,235572.64,51825.9808,238000,22
"Execution, Delivery and Process Management",Trade Counterparties,43437,43440,2018,12810.09,3971.1279,22600,31
"Execution, Delivery and Process Management",Reporting and Disclosure,43440,43441,2018,131322.98,40710.1238,134800,31
External Fraud,Theft and Fraud,43441,43444,2018,204134.95,79612.6305,218400,39
"Execution, Delivery and Process Management",Reporting and Disclosure,43448,43450,2018,84575.55,26218.4205,98800,31
External Fraud,Theft and Fraud,43454,43456,2018,214764.09,42952.818,228200,20
External Fraud,Theft and Fraud,43456,43459,2018,800061.08,232017.7132,795700,29
External Fraud,Systems Security,43457,43459,2018,606149.18,200029.2294,614900,33
External Fraud,Theft and Fraud,43462,43463,2018,214500.57,55770.1482,212800,26
"Execution, Delivery and Process Management",Customer Intake and Documentation,43464,43467,2019,223615.25,49195.355,223300,22
"Clients, Products and Business Practices",Product Flaws,43466,43467,2019,296555.27,80069.9229,291100,27
External Fraud,Systems Security,43468,43469,2019,168487.22,62340.2714,170500,37
Damage to Physical Assets,Disaster and other events,43468,43469,2019,259281.19,72598.7332,260600,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,43468,43470,2019,866066.2,199195.226,862800,23
"Execution, Delivery and Process Management",Trade Counterparties,43468,43470,2019,87472.47,30615.3645,98400,35
"Clients, Products and Business Practices",Advisory Activities,43469,43471,2019,229395.38,75700.4754,230700,33
"Clients, Products and Business Practices",Product Flaws,43469,43470,2019,125241.4,46339.318,120900,37
Employment Practices and Workplace Safety,Safe Environment,43470,43471,2019,203646.85,52948.181,201000,26
"Execution, Delivery and Process Management",Trade Counterparties,43471,43473,2019,192523.57,53906.5996,194000,28
External Fraud,Theft and Fraud,43471,43472,2019,177868.07,65811.1859,189500,37
"Execution, Delivery and Process Management",Reporting and Disclosure,43472,43469,2019,10200000,2652000,10200000,26
External Fraud,Theft and Fraud,43472,43469,2019,3500000,1260000,3500000,36
External Fraud,Theft and Fraud,43472,43475,2019,68045.22,21774.4704,85700,32
"Execution, Delivery and Process Management",Reporting and Disclosure,43473,43476,2019,846942.24,338776.896,854800,40
"Execution, Delivery and Process Management",Customer Intake and Documentation,43473,43476,2019,123391.74,29614.0176,127500,24
"Clients, Products and Business Practices",Product Flaws,43473,43476,2019,137925.29,38619.0812,137400,28
"Execution, Delivery and Process Management",Reporting and Disclosure,43477,43479,2019,292160.41,67196.8943,288300,23
External Fraud,Theft and Fraud,43478,43480,2019,865970.64,320409.1368,870200,37
External Fraud,Systems Security,43479,43482,2019,243129.17,63213.5842,241800,26
"Clients, Products and Business Practices",Advisory Activities,43481,43484,2019,321307.5,112457.625,321700,35
"Clients, Products and Business Practices",Product Flaws,43483,43484,2019,123160.87,29558.6088,117500,24
"Execution, Delivery and Process Management",Reporting and Disclosure,43483,43484,2019,140055.24,32212.7052,145800,23
External Fraud,Theft and Fraud,43484,43487,2019,255901.68,87006.5712,257500,34
Employment Practices and Workplace Safety,Diversity and Discrimination,43485,43488,2019,14146.19,4951.1665,22100,35
External Fraud,Theft and Fraud,43485,43487,2019,182052.79,40051.6138,191500,22
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43486,43488,2019,543621.98,190267.693,546600,35
"Execution, Delivery and Process Management",Trade Counterparties,43487,43488,2019,13702.3,3151.529,18900,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43487,43489,2019,25835.12,10334.048,26500,40
External Fraud,Theft and Fraud,43488,43489,2019,217861.76,58822.6752,224800,27
External Fraud,Theft and Fraud,43488,43490,2019,218230.98,82927.7724,225100,38
"Execution, Delivery and Process Management",Vendors and Suppliers,43488,43490,2019,477408.03,76385.2848,481200,16
Internal Fraud,Unauthorized Activity,43489,43492,2019,176446.57,63520.7652,186900,36
"Execution, Delivery and Process Management",Vendors and Suppliers,43492,43493,2019,224771.19,56192.7975,231200,25
"Execution, Delivery and Process Management",Customer/Client Account Management,43492,43495,2019,172250.92,44785.2392,181000,26
"Execution, Delivery and Process Management",Customer/Client Account Management,43493,43494,2019,391760.61,101857.7586,402200,26
Employment Practices and Workplace Safety,Diversity and Discrimination,43494,43495,2019,191050.98,49673.2548,197000,26
Employment Practices and Workplace Safety,Safe Environment,43494,43497,2019,-2941.71,-706.0104,8300,24
External Fraud,Systems Security,43495,43496,2019,3028.96,908.688,3000,30
External Fraud,Systems Security,43496,43497,2019,173393.94,60687.879,175800,35
External Fraud,Theft and Fraud,43496,43497,2019,143950.45,57580.18,142300,40
External Fraud,Theft and Fraud,43496,43499,2019,334465.32,110373.5556,344700,33
External Fraud,Theft and Fraud,43497,43500,2019,278541.2,86347.772,275300,31
"Execution, Delivery and Process Management",Transaction/Data Management,43499,43502,2019,251287.31,100514.924,260500,40
External Fraud,Theft and Fraud,43500,43501,2019,50897.65,15269.295,65600,30
External Fraud,Theft and Fraud,43503,43500,2019,425000,131750,500000,31
Employment Practices and Workplace Safety,Diversity and Discrimination,43503,42770,2017,250000,50000,300000,20
External Fraud,Theft and Fraud,43504,43506,2019,66141.29,15873.9096,70500,24
Business Disruption and System Failures,Infrastructure and Systems,43504,43507,2019,50246.97,14069.1516,60200,28
External Fraud,Theft and Fraud,43506,43507,2019,22925.54,7794.6836,27000,34
"Execution, Delivery and Process Management",Transaction/Data Management,43506,43507,2019,623801.99,224568.7164,626900,36
External Fraud,Systems Security,43508,43511,2019,125226.11,48838.1829,130100,39
External Fraud,Systems Security,43508,43510,2019,22203.87,4662.8127,26800,21
"Execution, Delivery and Process Management",Customer Intake and Documentation,43508,43510,2019,306695.06,85874.6168,314500,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,43509,43512,2019,6642.61,1461.3742,19300,22
Employment Practices and Workplace Safety,Employee Relations,43510,43512,2019,19785.1,7914.04,28300,40
External Fraud,Theft and Fraud,43510,43512,2019,253467.82,63366.955,247700,25
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43511,43512,2019,433730.21,169154.7819,436200,39
"Execution, Delivery and Process Management",Trade Counterparties,43512,43515,2019,88304.33,19426.9526,95500,22
External Fraud,Systems Security,43512,43513,2019,190185.19,60859.2608,190400,32
External Fraud,Theft and Fraud,43513,43514,2019,12122.6,4606.588,24700,38
"Execution, Delivery and Process Management",Trade Counterparties,43514,43516,2019,1000493.95,330163.0035,1008300,33
"Execution, Delivery and Process Management",Vendors and Suppliers,43514,43517,2019,36183.73,6151.2341,42800,17
Employment Practices and Workplace Safety,Employee Relations,43514,43515,2019,228424.87,75380.2071,238300,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43517,43519,2019,555900.58,144534.1508,555700,26
External Fraud,Theft and Fraud,43517,43518,2019,155296.86,43483.1208,165900,28
"Execution, Delivery and Process Management",Trade Counterparties,43518,43521,2019,110271.63,24259.7586,120300,22
"Execution, Delivery and Process Management",Transaction/Data Management,43519,43522,2019,600346.33,150086.5825,610400,25
"Execution, Delivery and Process Management",Reporting and Disclosure,43520,43522,2019,172337.59,39637.6457,172300,23
"Execution, Delivery and Process Management",Customer/Client Account Management,43521,43522,2019,142392.62,39869.9336,149000,28
"Clients, Products and Business Practices",Advisory Activities,43521,43524,2019,206895.16,82758.064,215600,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43521,43524,2019,38900.77,11670.231,48300,30
External Fraud,Theft and Fraud,43521,43523,2019,4868.33,1801.2821,3800,37
"Execution, Delivery and Process Management",Reporting and Disclosure,43523,43525,2019,801238.26,200309.565,798100,25
External Fraud,Theft and Fraud,43523,43525,2019,187961.18,56388.354,186500,30
Business Disruption and System Failures,Infrastructure and Systems,43524,43525,2019,24884.77,7714.2787,31900,31
"Execution, Delivery and Process Management",Trade Counterparties,43524,43527,2019,73052.97,21915.891,65800,30
Employment Practices and Workplace Safety,Safe Environment,43524,43527,2019,46489.64,17666.0632,47400,38
"Clients, Products and Business Practices",Advisory Activities,43524,43525,2019,92671.83,18534.366,99500,20
Internal Fraud,Theft and Fraud,43525,43526,2019,33962.89,7132.2069,31800,21
"Execution, Delivery and Process Management",Reporting and Disclosure,43528,43531,2019,1062.72,297.5616,12900,28
External Fraud,Theft and Fraud,43530,43531,2019,16223.55,6164.949,31700,38
Employment Practices and Workplace Safety,Diversity and Discrimination,43531,43532,2019,22217.92,8887.168,29300,40
Internal Fraud,Unauthorized Activity,43531,43532,2019,279195.57,89342.5824,293300,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,43531,43532,2019,95360.08,37190.4312,109100,39
External Fraud,Systems Security,43532,43533,2019,35696.61,13921.6779,38600,39
External Fraud,Theft and Fraud,43533,43534,2019,13895.35,5558.14,23700,40
External Fraud,Theft and Fraud,43534,43535,2019,260899.95,78269.985,263000,30
Internal Fraud,Unauthorized Activity,43534,43535,2019,172561.97,65573.5486,182200,38
Employment Practices and Workplace Safety,Employee Relations,43536,43537,2019,143477.08,48782.2072,146900,34
External Fraud,Theft and Fraud,43536,43538,2019,198846.87,63630.9984,203000,32
"Execution, Delivery and Process Management",Customer Intake and Documentation,43536,43537,2019,71627.59,15041.7939,82400,21
"Execution, Delivery and Process Management",Trade Counterparties,43537,43538,2019,161417.86,43582.8222,174500,27
External Fraud,Theft and Fraud,43537,43540,2019,143264.83,42979.449,155000,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,43541,43544,2019,244890.92,90609.6404,254100,37
"Execution, Delivery and Process Management",Reporting and Disclosure,43541,43542,2019,917329.57,229332.3925,913100,25
